epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
34,708.758,0.6805,1.26876,0.66556,1.17621,0,0.76846,0.8242,0.73041,0.75988,0.62799,0.79352,0.70249,0.73895,0.61946,0.62069,0.60306,0.65418,1.34876,0.6941,1.17308,0,0.77144,0.00112239,0.00112239,0.00112239
35,728.185,0.68825,1.26557,0.66192,1.17842,0,0.82733,0.79963,0.73963,0.77024,0.62659,0.78738,0.71659,0.74936,0.61699,0.62069,0.60921,0.62147,1.31647,0.67013,1.15961,0,0.78256,0.00110589,0.00110589,0.00110589
36,748.534,0.67006,1.26235,0.66713,1.16697,0,0.85056,0.77484,0.7235,0.75693,0.62381,0.77596,0.71659,0.74319,0.61837,0.63362,0.59834,0.68075,1.37513,0.67088,1.17404,0,0.84181,0.00108938,0.00108938,0.00108938
37,768.278,0.66754,1.23632,0.66049,1.15112,0,0.84147,0.80114,0.74885,0.76027,0.63154,0.77709,0.71889,0.72918,0.61548,0.65086,0.64566,0.63086,1.32618,0.63471,1.13931,0,0.78916,0.00107288,0.00107288,0.00107288
38,787.807,0.67615,1.24285,0.64127,1.17164,0,0.83712,0.81156,0.69355,0.72745,0.61829,0.7687,0.70046,0.72064,0.61552,0.65517,0.63124,0.65596,1.32886,0.69103,1.19801,0,0.77667,0.00105638,0.00105638,0.00105638
39,807.306,0.66886,1.25022,0.66049,1.17618,0,0.76546,0.73454,0.76037,0.7497,0.61627,0.76323,0.69124,0.71508,0.60591,0.625,0.60565,0.65329,1.35471,0.67254,1.16965,0,0.86002,0.00103987,0.00103987,0.00103987
40,826.722,0.66412,1.24881,0.66434,1.16961,0,0.78467,0.80675,0.68551,0.73933,0.60727,0.79837,0.67287,0.72371,0.60918,0.62931,0.60755,0.67135,1.30318,0.69098,1.19543,0,0.89302,0.00102337,0.00102337,0.00102337
41,846.05,0.67718,1.23299,0.65924,1.17311,0,0.83057,0.81288,0.7235,0.77299,0.62534,0.7926,0.69794,0.74425,0.62282,0.64655,0.6314,0.62511,1.29295,0.64046,1.15873,0,0.78434,0.00100687,0.00100687,0.00100687
42,865.543,0.6535,1.21559,0.64747,1.16096,0,0.82123,0.83004,0.72316,0.75739,0.62265,0.80249,0.70968,0.73594,0.61775,0.65948,0.64755,0.63007,1.33412,0.65819,1.17094,0,0.79324,0.000990365,0.000990365,0.000990365
43,884.947,0.63734,1.20352,0.63046,1.13897,0,0.75783,0.7733,0.71659,0.75505,0.62173,0.74889,0.71198,0.73395,0.61958,0.65948,0.63903,0.63718,1.33886,0.63644,1.15968,0,0.74716,0.000973861,0.000973861,0.000973861
44,904.471,0.65635,1.2283,0.64339,1.16433,0,0.76607,0.8274,0.72811,0.77879,0.6403,0.81687,0.71429,0.75749,0.63196,0.63793,0.62109,0.62863,1.30004,0.6385,1.15006,0,0.77577,0.000957358,0.000957358,0.000957358
45,924.821,0.64032,1.19325,0.62116,1.14169,0,0.78524,0.79282,0.76146,0.77062,0.63438,0.79532,0.73502,0.75147,0.62377,0.63793,0.62354,0.61287,1.30638,0.62914,1.14926,0,0.78069,0.000940855,0.000940855,0.000940855
46,944.191,0.64867,1.18813,0.62685,1.15452,0,0.75897,0.76682,0.74194,0.76672,0.62508,0.791,0.70276,0.74272,0.62125,0.65948,0.63173,0.64322,1.27965,0.64529,1.18179,0,0.80718,0.000924352,0.000924352,0.000924352
47,963.553,0.65814,1.19283,0.6218,1.15349,0,0.76264,0.75788,0.78111,0.77139,0.63718,0.74478,0.71659,0.74134,0.62823,0.63793,0.61288,0.60536,1.26793,0.64037,1.13883,0,0.75916,0.000907848,0.000907848,0.000907848
48,982.873,0.64171,1.17884,0.60792,1.14441,0,0.79067,0.83681,0.73272,0.78201,0.64533,0.81671,0.71659,0.75162,0.63098,0.57328,0.51836,0.59193,1.28017,0.62517,1.13746,0,0.83512,0.000891345,0.000891345,0.000891345
49,1002.25,0.64676,1.17229,0.61447,1.14622,0,0.78077,0.81206,0.76037,0.78711,0.63979,0.8168,0.70598,0.75815,0.62981,0.68103,0.65759,0.60252,1.25554,0.63106,1.14491,0,0.75217,0.000874842,0.000874842,0.000874842
50,1021.73,0.63762,1.15676,0.608,1.14308,0,0.76171,0.88347,0.70276,0.77345,0.63391,0.85754,0.67972,0.7445,0.62889,0.63793,0.61253,0.62598,1.301,0.62946,1.14983,0,0.77431,0.000858338,0.000858338,0.000858338
51,1040.87,0.63731,1.20996,0.60645,1.14471,0,0.74038,0.8362,0.70507,0.77221,0.63379,0.85877,0.69638,0.75461,0.63549,0.57759,0.54703,0.58918,1.33427,0.62184,1.14013,0,0.90555,0.000841835,0.000841835,0.000841835
52,1059.62,0.61878,1.18302,0.59093,1.13204,0,0.75944,0.81651,0.77027,0.79028,0.63826,0.80729,0.74654,0.76867,0.63853,0.625,0.60473,0.61228,1.24176,0.62185,1.14935,0,0.82993,0.000825332,0.000825332,0.000825332
53,1078.48,0.62398,1.15588,0.58324,1.13132,0,0.72447,0.77256,0.74904,0.76262,0.63375,0.75262,0.72169,0.73839,0.62078,0.60345,0.56658,0.61422,1.31372,0.6059,1.13985,0,0.87728,0.000808828,0.000808828,0.000808828
54,1097.3,0.62581,1.14674,0.58948,1.13387,0,0.74597,0.80367,0.73733,0.77868,0.64778,0.78885,0.72581,0.75486,0.6367,0.65517,0.61849,0.589,1.31173,0.61006,1.14506,0,0.82122,0.000792325,0.000792325,0.000792325
55,1116.05,0.61758,1.14464,0.58037,1.12198,0,0.74128,0.81412,0.74424,0.77767,0.63433,0.79973,0.72811,0.75745,0.63954,0.63362,0.62959,0.61727,1.3328,0.61776,1.16818,0,0.79495,0.000775822,0.000775822,0.000775822
56,1134.97,0.61822,1.17822,0.58094,1.1313,0,0.72083,0.78895,0.75611,0.77638,0.63617,0.76853,0.72581,0.74628,0.6276,0.625,0.59979,0.58303,1.36301,0.61241,1.14731,0,0.85782,0.000759318,0.000759318,0.000759318
57,1153.77,0.61416,1.17203,0.59181,1.11487,0,0.73631,0.79752,0.76617,0.79737,0.65093,0.79339,0.73639,0.76867,0.63905,0.63793,0.6106,0.5898,1.25833,0.59695,1.12823,0,0.82002,0.000742815,0.000742815,0.000742815
58,1172.56,0.62204,1.15147,0.58591,1.13423,0,0.73721,0.79398,0.76007,0.78777,0.63981,0.80369,0.74885,0.77779,0.63979,0.64655,0.62556,0.60714,1.27676,0.61047,1.14613,0,0.75794,0.000726312,0.000726312,0.000726312
59,1191.85,0.60754,1.14177,0.57536,1.12045,0,0.69941,0.76885,0.76728,0.7804,0.63739,0.7463,0.73187,0.73878,0.62776,0.60345,0.57095,0.6062,1.29081,0.5834,1.13833,0,0.87701,0.000709809,0.000709809,0.000709809
60,1212.44,0.59942,1.14187,0.55844,1.11682,0,0.71189,0.76199,0.77093,0.78214,0.64643,0.76726,0.72811,0.75253,0.63004,0.62069,0.62054,0.58903,1.26819,0.60233,1.12618,0,0.85802,0.000693305,0.000693305,0.000693305
61,1232.33,0.60885,1.14706,0.56079,1.13837,0,0.71079,0.79645,0.73733,0.78513,0.64924,0.80326,0.73272,0.77502,0.63725,0.63362,0.60661,0.59402,1.24427,0.60836,1.14142,0,0.80227,0.000676802,0.000676802,0.000676802
62,1253.24,0.61487,1.12159,0.5601,1.12765,0,0.67674,0.7803,0.75115,0.77613,0.64219,0.80888,0.71429,0.75832,0.63288,0.70259,0.69447,0.60811,1.28113,0.61464,1.14912,0,0.71919,0.000660299,0.000660299,0.000660299
63,1274.41,0.60339,1.11958,0.56099,1.1205,0,0.72031,0.79235,0.75115,0.78436,0.65207,0.77856,0.73502,0.76392,0.63812,0.61207,0.58018,0.59686,1.25058,0.6059,1.15175,0,0.83759,0.000643795,0.000643795,0.000643795
