epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
52,5867.95,0.3438,0.48432,0.24807,0.91743,0,0.54864,0.86771,0.7788,0.81087,0.65813,0.84705,0.76037,0.7819,0.64398,0.71983,0.70941,0.59845,1.38059,0.52685,1.16251,0,0.72595,0.000825332,0.000825332,0.000825332
53,5993.56,0.33808,0.48024,0.24725,0.91179,0,0.54619,0.8917,0.76498,0.81498,0.66243,0.86414,0.74654,0.78848,0.648,0.73707,0.7309,0.61796,1.32929,0.53843,1.182,0,0.66341,0.000808828,0.000808828,0.000808828
54,6111.6,0.33826,0.4803,0.24601,0.91223,0,0.54527,0.85563,0.77813,0.81343,0.66221,0.831,0.74885,0.77624,0.64797,0.69397,0.68919,0.59324,1.34084,0.52527,1.16623,0,0.69554,0.000792325,0.000792325,0.000792325
55,6227.75,0.33511,0.47013,0.24032,0.91016,0,0.55009,0.84171,0.78111,0.80574,0.661,0.82491,0.76728,0.78026,0.64657,0.73276,0.72473,0.61598,1.38668,0.52507,1.17286,0,0.6856,0.000775822,0.000775822,0.000775822
56,6347.72,0.33562,0.47232,0.24001,0.91333,0,0.53886,0.82637,0.78341,0.8108,0.66401,0.7972,0.76037,0.78203,0.64762,0.72414,0.71503,0.5998,1.33492,0.52215,1.15917,0,0.69606,0.000759318,0.000759318,0.000759318
57,6456.57,0.33674,0.4678,0.24243,0.9117,0,0.53671,0.82462,0.77721,0.80353,0.66555,0.81094,0.76498,0.78261,0.64891,0.75,0.74131,0.60011,1.36581,0.53812,1.15827,0,0.71203,0.000742815,0.000742815,0.000742815
58,6569.55,0.34177,0.48084,0.25212,0.91477,0,0.52445,0.85574,0.77825,0.80696,0.66525,0.83459,0.76142,0.77944,0.64876,0.72414,0.71254,0.60271,1.31344,0.56089,1.16284,0,0.73345,0.000726312,0.000726312,0.000726312
59,6687.54,0.34134,0.47109,0.24692,0.9128,0,0.53568,0.85204,0.78341,0.80635,0.66224,0.824,0.76037,0.78359,0.64776,0.74569,0.7371,0.58843,1.3461,0.5353,1.1624,0,0.67792,0.000709809,0.000709809,0.000709809
60,6807.61,0.33533,0.4692,0.24141,0.91273,0,0.52058,0.87032,0.78571,0.82148,0.66314,0.85039,0.75903,0.79075,0.65046,0.73707,0.73011,0.60567,1.32342,0.51598,1.1662,0,0.68524,0.000693305,0.000693305,0.000693305
61,6918.82,0.33328,0.46383,0.23527,0.90542,0,0.52295,0.87904,0.78111,0.82173,0.67109,0.8616,0.75346,0.78884,0.65041,0.72414,0.71692,0.5915,1.36275,0.51317,1.14709,0,0.68247,0.000676802,0.000676802,0.000676802
62,7027.37,0.3317,0.46548,0.23697,0.90918,0,0.52652,0.87937,0.7788,0.82017,0.66913,0.87202,0.76728,0.79447,0.65225,0.73276,0.7233,0.58526,1.33598,0.52191,1.15236,0,0.67963,0.000660299,0.000660299,0.000660299
63,7147.25,0.3277,0.46755,0.23087,0.90636,0,0.4997,0.89469,0.76369,0.81414,0.66343,0.87401,0.75011,0.78938,0.64865,0.71121,0.70025,0.59911,1.32092,0.52749,1.16107,0,0.72644,0.000643795,0.000643795,0.000643795
64,7261.02,0.32411,0.45555,0.22884,0.90486,0,0.50387,0.83734,0.79263,0.81638,0.66345,0.8432,0.76037,0.78421,0.64406,0.71552,0.70098,0.59613,1.36372,0.50751,1.16119,0,0.7055,0.000627292,0.000627292,0.000627292
65,7371.6,0.32364,0.45751,0.22767,0.90388,0,0.50066,0.84989,0.78341,0.81102,0.65994,0.84606,0.74424,0.77894,0.64447,0.7069,0.69322,0.6115,1.35989,0.52757,1.17179,0,0.71147,0.000610789,0.000610789,0.000610789
66,7487.87,0.32251,0.4622,0.22937,0.90033,0,0.49864,0.86565,0.76498,0.8074,0.66123,0.85715,0.7458,0.78192,0.64457,0.72414,0.71106,0.61391,1.37659,0.53523,1.18723,0,0.71623,0.000594286,0.000594286,0.000594286
67,7600.37,0.32022,0.44874,0.22508,0.90024,0,0.48044,0.83778,0.79263,0.80979,0.66314,0.81297,0.77809,0.78226,0.6448,0.73276,0.72563,0.59731,1.37999,0.52825,1.16551,0,0.72366,0.000577782,0.000577782,0.000577782
68,7716.92,0.3229,0.45186,0.22783,0.90202,0,0.49098,0.85876,0.78111,0.8136,0.66358,0.83328,0.75806,0.78829,0.64876,0.74138,0.73113,0.60809,1.3713,0.52773,1.17503,0,0.7929,0.000561279,0.000561279,0.000561279
69,7838.37,0.31883,0.45043,0.22215,0.90007,0,0.4837,0.87099,0.76959,0.81274,0.6661,0.83088,0.76498,0.78598,0.64892,0.74138,0.73627,0.6006,1.3581,0.53098,1.16326,0,0.67528,0.000544776,0.000544776,0.000544776
70,7955.1,0.31867,0.45134,0.22426,0.90123,0,0.47004,0.85282,0.77939,0.81923,0.66649,0.82417,0.75576,0.7826,0.64814,0.7069,0.69982,0.58906,1.3672,0.51103,1.16025,0,0.71337,0.000528272,0.000528272,0.000528272
71,8072.45,0.31588,0.44162,0.22183,0.89798,0,0.48022,0.86165,0.78571,0.82347,0.66762,0.83277,0.76969,0.78972,0.65022,0.73707,0.72985,0.60176,1.38974,0.50938,1.17539,0,0.74659,0.000511769,0.000511769,0.000511769
72,8197.51,0.31357,0.44013,0.2193,0.89698,0,0.47698,0.89539,0.76996,0.826,0.66573,0.85932,0.74194,0.78835,0.64784,0.71121,0.69959,0.62063,1.35302,0.5203,1.18475,0,0.69653,0.000495266,0.000495266,0.000495266
73,8315.3,0.31615,0.44648,0.21909,0.8966,0,0.46334,0.83514,0.79486,0.81909,0.66227,0.81409,0.77642,0.78833,0.64708,0.72845,0.71932,0.60496,1.36772,0.51812,1.1676,0,0.67209,0.000478762,0.000478762,0.000478762
74,8428.94,0.31282,0.43783,0.21713,0.89863,0,0.45792,0.87621,0.7788,0.82167,0.66934,0.83756,0.75856,0.78937,0.6505,0.71552,0.71071,0.60931,1.37376,0.51542,1.17547,0,0.68825,0.000462259,0.000462259,0.000462259
75,8547.55,0.30953,0.4366,0.21543,0.89616,0,0.45482,0.88167,0.77953,0.8203,0.66918,0.8662,0.77189,0.80106,0.65486,0.7069,0.70043,0.60971,1.36509,0.50342,1.17567,0,0.69026,0.000445756,0.000445756,0.000445756
76,8671.89,0.30661,0.43238,0.21425,0.89298,0,0.45931,0.87897,0.7765,0.82164,0.66846,0.85453,0.75806,0.79028,0.64916,0.73707,0.73228,0.60826,1.3668,0.50433,1.18105,0,0.70066,0.000429253,0.000429253,0.000429253
77,8790.52,0.30779,0.43402,0.21339,0.89501,0,0.46392,0.88847,0.77189,0.82334,0.66854,0.82672,0.77777,0.79637,0.648,0.71121,0.70221,0.60479,1.37086,0.50312,1.18199,0,0.71423,0.000412749,0.000412749,0.000412749
