epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
42,862.245,0.65307,1.25464,0.61876,1.1329,0,0.79163,0.80231,0.75096,0.76058,0.61187,0.77574,0.71565,0.72374,0.60464,0.62821,0.61066,0.64256,1.42977,0.66313,1.15305,0,0.81795,0.000990365,0.000990365,0.000990365
43,881.854,0.63605,1.24469,0.59281,1.12519,0,0.77331,0.78854,0.76244,0.78321,0.63191,0.76354,0.73982,0.75699,0.6286,0.63248,0.61807,0.6174,1.40097,0.60239,1.13769,0,0.77089,0.000973861,0.000973861,0.000973861
44,901.369,0.63736,1.25754,0.6008,1.12527,0,0.77036,0.79696,0.73756,0.76216,0.62915,0.77421,0.71946,0.73712,0.62023,0.58974,0.54722,0.62264,1.3926,0.63318,1.14384,0,0.86938,0.000957358,0.000957358,0.000957358
45,920.971,0.6289,1.23664,0.59205,1.12044,0,0.80671,0.78816,0.72457,0.75981,0.63504,0.77946,0.70814,0.74151,0.62579,0.55128,0.51282,0.60734,1.379,0.60991,1.12634,0,1.10596,0.000940855,0.000940855,0.000940855
46,940.442,0.64094,1.24441,0.58701,1.12132,0,0.76951,0.8302,0.75434,0.78008,0.63139,0.78906,0.71983,0.73389,0.61964,0.53419,0.5127,0.62432,1.44545,0.58982,1.13697,0,0.91556,0.000924352,0.000924352,0.000924352
47,959.946,0.62862,1.20463,0.59456,1.11624,0,0.75374,0.80922,0.75639,0.7814,0.63008,0.78153,0.73529,0.73642,0.61335,0.63675,0.63472,0.63731,1.39161,0.61737,1.16224,0,0.76003,0.000907848,0.000907848,0.000907848
48,979.537,0.64537,1.23368,0.6167,1.1233,0,0.7819,0.80109,0.75113,0.77891,0.63508,0.76747,0.72172,0.743,0.62925,0.55983,0.48842,0.61587,1.34683,0.62,1.14381,0,0.93511,0.000891345,0.000891345,0.000891345
49,999.004,0.63799,1.26698,0.59313,1.12372,0,0.74486,0.79266,0.75339,0.77181,0.62655,0.78168,0.70998,0.73748,0.61698,0.59829,0.57621,0.62469,1.40574,0.61988,1.14685,0,0.83881,0.000874842,0.000874842,0.000874842
50,1018.65,0.61933,1.23598,0.57587,1.10719,0,0.74085,0.80712,0.73529,0.77613,0.64461,0.7894,0.72172,0.75737,0.63283,0.55128,0.51176,0.60164,1.38395,0.60928,1.13345,0,0.99106,0.000858338,0.000858338,0.000858338
51,1038.25,0.60781,1.20228,0.57336,1.10824,0,0.7272,0.81728,0.73982,0.77316,0.63277,0.78251,0.71443,0.73692,0.62112,0.60256,0.58368,0.60471,1.3672,0.59317,1.1284,0,0.78069,0.000841835,0.000841835,0.000841835
52,1057.73,0.61744,1.20171,0.56566,1.11252,0,0.77744,0.81903,0.74661,0.78149,0.63163,0.77022,0.71719,0.74165,0.62581,0.5812,0.54721,0.634,1.36763,0.611,1.14652,0,0.94756,0.000825332,0.000825332,0.000825332
53,1077.27,0.62187,1.18888,0.56653,1.10931,0,0.7481,0.84136,0.72172,0.76801,0.6344,0.83233,0.70588,0.73498,0.6204,0.6453,0.62842,0.62477,1.3628,0.66182,1.14712,0,0.7406,0.000808828,0.000808828,0.000808828
54,1096.66,0.62381,1.16471,0.5803,1.11376,0,0.72856,0.84609,0.73982,0.78152,0.6395,0.81653,0.71946,0.74267,0.62537,0.58547,0.57309,0.62296,1.40183,0.61187,1.14752,0,0.8189,0.000792325,0.000792325,0.000792325
55,1116.21,0.62767,1.16868,0.56328,1.10461,0,0.72318,0.82569,0.75327,0.78342,0.64345,0.8137,0.72417,0.7591,0.63699,0.63675,0.62288,0.6529,1.37803,0.64272,1.13968,0,0.81739,0.000775822,0.000775822,0.000775822
56,1135.68,0.6201,1.1639,0.5661,1.10079,0,0.70197,0.83066,0.71954,0.77347,0.63782,0.79795,0.70136,0.7448,0.63058,0.58974,0.55292,0.61277,1.38888,0.60713,1.13583,0,0.85661,0.000759318,0.000759318,0.000759318
57,1155.15,0.61554,1.15045,0.57548,1.10219,0,0.69305,0.84555,0.72786,0.78136,0.64068,0.82318,0.71946,0.75929,0.63529,0.62393,0.62138,0.61044,1.36586,0.61405,1.13039,0,0.80734,0.000742815,0.000742815,0.000742815
58,1174.87,0.60171,1.15542,0.55985,1.09683,0,0.70011,0.77742,0.76465,0.77821,0.63788,0.75778,0.74208,0.75547,0.63471,0.62393,0.61507,0.61931,1.37947,0.60023,1.13935,0,0.8851,0.000726312,0.000726312,0.000726312
