epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/mad_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),metrics/madurez_acc,metrics/madurez_f1,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/mad_loss,lr/pg0,lr/pg1,lr/pg2
47,989.167,0.63296,1.71504,0.61186,1.13086,0,0.77377,0.78812,0.76147,0.77411,0.63337,0.78108,0.74413,0.74252,0.51792,0.62343,0.61227,0.62668,2.08555,0.65783,1.14766,0,0.77975,0.000907848,0.000907848,0.000907848
48,1009.35,0.63128,1.72802,0.61005,1.12238,0,0.76909,0.77148,0.74393,0.77124,0.62614,0.74309,0.71791,0.73413,0.52071,0.62343,0.61516,0.60624,1.99627,0.64608,1.11603,0,0.77067,0.000891345,0.000891345,0.000891345
49,1029.59,0.63272,1.71013,0.61134,1.13475,0,0.78329,0.8275,0.76366,0.78834,0.6418,0.7798,0.73357,0.73341,0.51612,0.61088,0.59214,0.61578,2.01289,0.64177,1.13929,0,0.79277,0.000874842,0.000874842,0.000874842
50,1049.88,0.62509,1.68591,0.59478,1.12235,0,0.7504,0.77504,0.76189,0.77899,0.6364,0.73094,0.72938,0.72568,0.50775,0.64435,0.62332,0.61571,2.01499,0.64882,1.14082,0,0.75597,0.000858338,0.000858338,0.000858338
51,1070.06,0.63205,1.71625,0.59636,1.13626,0,0.76769,0.81434,0.73283,0.7785,0.63144,0.74167,0.72658,0.73622,0.53026,0.58996,0.56366,0.62462,1.95909,0.64936,1.14028,0,0.81983,0.000841835,0.000841835,0.000841835
52,1090.63,0.61251,1.68342,0.57582,1.11473,0,0.77536,0.81617,0.7615,0.79434,0.6332,0.81178,0.71343,0.7436,0.51827,0.65272,0.63023,0.61594,2.02696,0.6598,1.14694,0,0.7875,0.000825332,0.000825332,0.000825332
53,1111.15,0.61031,1.69377,0.59197,1.11697,0,0.75302,0.81601,0.7527,0.79633,0.63357,0.77774,0.70765,0.71901,0.47654,0.61925,0.56801,0.63938,2.15834,0.65347,1.15986,0,0.84766,0.000808828,0.000808828,0.000808828
54,1131.67,0.63083,1.72131,0.59345,1.13068,0,0.72571,0.81347,0.76586,0.79069,0.63597,0.76574,0.72469,0.73338,0.52157,0.64435,0.64008,0.62866,2.07814,0.63728,1.14265,0,0.81113,0.000792325,0.000792325,0.000792325
55,1152.09,0.61679,1.7035,0.57141,1.11167,0,0.75636,0.81376,0.74416,0.78768,0.63702,0.78195,0.70695,0.74247,0.52317,0.62343,0.58386,0.60678,2.05634,0.62948,1.13393,0,0.80447,0.000775822,0.000775822,0.000775822
56,1172.42,0.63893,1.65842,0.59666,1.13963,0,0.73027,0.78011,0.77038,0.79173,0.63837,0.75288,0.73326,0.73914,0.521,0.6569,0.65001,0.61286,2.05257,0.63422,1.14041,0,0.7764,0.000759318,0.000759318,0.000759318
57,1192.87,0.61355,1.64868,0.58184,1.11731,0,0.76378,0.70372,0.72213,0.77765,0.62462,0.65637,0.67728,0.69763,0.44378,0.61088,0.58108,0.69392,2.21099,0.74038,1.18204,0,0.84301,0.000742815,0.000742815,0.000742815
58,1213.01,0.61622,1.66527,0.56652,1.1218,0,0.74973,0.8159,0.78121,0.80524,0.64181,0.77117,0.72031,0.73317,0.49736,0.66527,0.65617,0.62644,2.03156,0.65085,1.15082,0,0.75383,0.000726312,0.000726312,0.000726312
